id,date,account,description,amount,category,category_kind,is_transfer,needs_review,counterparty,source_file,source_row
124,2026-06-10,Kredittkort,"IBSEN TANNKLINIKK/ TAN, OSLO",-1350.0,Health - dental,expense,0,0,,transaksjonsliste(1).xlsx,3
125,2026-06-10,Kredittkort,"Vipps*Sumo Solli Plass, Oslo",-269.0,Restaurants & takeaway,expense,0,0,Sumo Solli Plass,transaksjonsliste(1).xlsx,4
126,2026-06-11,Kredittkort,Innbetaling,2156.0,Credit card payment,transfer,1,0,,transaksjonsliste(1).xlsx,5
127,2026-06-11,Kredittkort,Innbetaling,1350.0,Credit card payment,transfer,1,0,,transaksjonsliste(1).xlsx,6
128,2026-06-11,Kredittkort,Innbetaling,797.0,Credit card payment,transfer,1,0,,transaksjonsliste(1).xlsx,7
129,2026-06-14,Kredittkort,"BOLT.EU/O/9010000000, Tallinn, EST",-375.0,Taxi & ride-hailing,expense,0,0,,transaksjonsliste(1).xlsx,8
130,2026-06-15,Kredittkort,"Vipps*Bjarte Lunde Sk, Oslo",-350.0,Vipps P2P - unspecified,expense,0,1,Bjarte Lunde Sk,transaksjonsliste(1).xlsx,9
131,2026-06-17,Kredittkort,"Vipps*Anders Vestli B, Oslo",-270.0,Vipps P2P - unspecified,expense,0,1,Anders Vestli B,transaksjonsliste(1).xlsx,10
132,2026-06-17,Kredittkort,"KID 47147 STORO, Oslo",-305.9,Home & furniture,expense,0,0,,transaksjonsliste(1).xlsx,11
133,2026-06-28,Kredittkort,"Vipps*VY App, Oslo",-658.0,Public transport,expense,0,0,VY App,transaksjonsliste(1).xlsx,12
134,2026-06-29,Kredittkort,"KONDOMERIET AS, Oslo",-359.0,Personal care,expense,0,0,,transaksjonsliste(1).xlsx,13
135,2026-06-29,Kredittkort,Innbetaling,5433.54,Credit card payment,transfer,1,0,,transaksjonsliste(1).xlsx,14
136,2026-06-29,Kredittkort,"REMA 1000 LORENVEIEN, OSLO",-99.32,Groceries,expense,0,0,,transaksjonsliste(1).xlsx,15
137,2026-06-29,Kredittkort,"SPORT OUTLET KA, Oslo",-2113.0,Sports & outdoor,expense,0,0,,transaksjonsliste(1).xlsx,16
1,2026-06-30,Bankkonto,Overføring  90200000000 Ingvild Kvamme Berg Tpp: Vipps,190.0,Vipps P2P - unspecified,expense,0,1,Ingvild Kvamme Berg Tpp,Kontoutskrift.xlsx,2
138,2026-06-30,Kredittkort,"PROUD MARY OSLO, Oslo",-238.0,Cafe & bakery,expense,0,0,,transaksjonsliste(1).xlsx,17
139,2026-06-30,Kredittkort,"PROUD MARY OSLO, Oslo",-119.0,Cafe & bakery,expense,0,0,,transaksjonsliste(1).xlsx,18
140,2026-06-30,Kredittkort,"PROUD MARY OSLO, Oslo",-238.0,Cafe & bakery,expense,0,0,,transaksjonsliste(1).xlsx,19
141,2026-06-30,Kredittkort,"Proud Mary Oslo, Kristiansand",-259.0,Cafe & bakery,expense,0,0,,transaksjonsliste(1).xlsx,20
142,2026-06-30,Kredittkort,"PROUD MARY OSLO, Oslo",-119.0,Cafe & bakery,expense,0,0,,transaksjonsliste(1).xlsx,21
143,2026-06-30,Kredittkort,"KEBAB BITEN AS, OSLO",-380.0,Restaurants & takeaway,expense,0,0,,transaksjonsliste(1).xlsx,22
2,2026-07-01,Bankkonto,Overføring  90300000000 Ingvild Kvamme Berg Tpp: Vipps,102.0,Vipps P2P - unspecified,expense,0,1,Ingvild Kvamme Berg Tpp,Kontoutskrift.xlsx,3
3,2026-07-01,Bankkonto,Overføring  9040000000 Sindre Aalborg LatteTpp: Vipps Mobilepay AS,-69.0,Cafe & bakery,expense,0,0,Sindre Aalborg LatteTpp,Kontoutskrift.xlsx,4
